Date,text,DataSource,Polarity,SentimentScore,Sentiment,match
27-11-2017 18:45,"b""It's the last day of our annual #whiteout #sale! Don't miss out on all the #TiVo exclusive deals. https://t.co/E78xr4RUg5""",SocailMedia,0,3,Neutral,
27-11-2017 18:23,"b'@migue333 Hello Miguel! Thanks for your inquiry. In purchasing a TiVo Bridge, the package includes the Tivo Bridge,\xe2\x80\xa6 https://t.co/rXwvILHjkL'",SocialMedia,0.2,3,Neutral,
27-11-2017 16:45,"b""How far have #4K #TV's penetrated US households? Hint: it's still under 10%: https://t.co/8RYaG2bmX1""",SocialMedia,0.1,3,Neutral,
27-11-2017 14:47,b'RT @ParksAssociates: Reserve your seat today! Our analysts + @tivoforbusiness will examine the top 5 #IPTV challenges on December 5: https:\xe2\x80\xa6',SocialMedia,0.5,5,Very Positive,
27-11-2017 07:16,"b""Don't let these prices go to waste! Skip the lines and head over to https://t.co/VPlqZ7ZU4B before the #whiteout\xe2\x80\xa6 https://t.co/7k8Up3DcxI""",SocailMedia,-0.25,2,Negative,
26-11-2017 23:43,"b'@timkessler1221 Hi @timkessler1221. We apologize for the trouble. To keep your TiVo guide from talking to you, you\xe2\x80\xa6 https://t.co/KU0XB8WCWF'",SocialMedia,-0.2,2,Negative,
26-11-2017 21:16,"b'@hanlich I see. But, you might want to uninstall the app on your device. Power cycle the router or modem. Once the\xe2\x80\xa6 https://t.co/JzrgOQIooC'",SocialMedia,0,3,Neutral,
26-11-2017 21:08,"b'@JayTruce We appreciate the information. To proceed,  please select Conditional Access. Then, provide us the next information on the screen.'",SocialMedia,0,3,Neutral,
26-11-2017 20:21,"b""@JayTruce I see. For now, we'll make sure that the CableCARD is properly activated with your TiVo BOLT+. Can you na\xe2\x80\xa6 https://t.co/O5gFpHCcNp""",SocialMedia,0.25,4,Positive,
26-11-2017 19:32,b'@JayTruce I see. Are you using antenna or cable?',SocialMedia,0,3,Neutral,
26-11-2017 16:20,"b""@hanlich Hi @hanlich. We're sorry for the trouble. Can you tell us more about the issue? Is there an error message or error code?""",SocialMedia,-0.066666667,2,Negative,
26-11-2017 16:03,"b""@JayTruce Hi @JayTruce. We're sorry to hear that you're having trouble with your TiVo. Can you tell us more about t\xe2\x80\xa6 https://t.co/f03frNg9qB""",SocialMedia,-0.066666667,2,Negative,
25-11-2017 20:00,"b'@stew_jordan Hello Stewart! Just to clarify, can you send us a direct message about what type TiVo Roamio were you\xe2\x80\xa6 https://t.co/NF39sWgfnj'",SocialMedia,0.1,3,Neutral,
25-11-2017 19:33,b'@DavidJDyar Hi @DavidJDyar. We appreciate your idea. You might want to send this to our developers here: https://t.co/0o70scaZgt',SocailMedia,0,3,Neutral,
25-11-2017 00:10,"b""We're just not that into you.... \xf0\x9f\x92\x94  https://t.co/qlsc0wOcXC""",SocailMedia,0,3,Neutral,
24-11-2017 21:45,b'Catch Walt Horstman at TV of Tomorrow NYC on December 7. #tvotnyc @tvotnyc @tswedlow https://t.co/kKYqFMzz1C',SocialMedia,0,3,Neutral,
24-11-2017 20:17,"b'@drwggm @drwggm We apologize for the trouble. To get this fix, you might want to uninstall the app on your device.\xe2\x80\xa6 https://t.co/UwQ0PIRsZn'",SocialMedia,-0.2,2,Negative,
24-11-2017 18:10,b'What do #StarWars and #HighSchoolMusical have in common? Both of these hit movies will be making their #TV show deb\xe2\x80\xa6 https://t.co/BNEW2O55oJ',SocailMedia,-0.3,2,Negative,
24-11-2017 16:25,b'@iXiJSizzleiXi Hello Johnny! There were no announcements yet on when Twitch will be available on our devices. But o\xe2\x80\xa6 https://t.co/1ClkL5EU4T',SocialMedia,0.4,4,Positive,
23-11-2017 19:30,"b""Who's ready for a day filled with turkey, treats, and #TV? Check out #TiVo Central for all your watch-worthy needs. https://t.co/g2Atv8bCjO""",SocailMedia,0.2,3,Neutral,
23-11-2017 19:10,b'Next week: See Walt Horstman at the New York Videonomics Roundtable. https://t.co/BMM571AdjD https://t.co/UJ1PgdZZPS',SocialMedia,0.068181818,3,Neutral,
23-11-2017 16:30,"b'#Thanksgiving = \xf0\x9f\x8f\x88. And this year, we have not one, but three reasons to give thanks! Check out how to catch all thr\xe2\x80\xa6 https://t.co/6M8XnIWHyg'",SocailMedia,0.25,4,Positive,
22-11-2017 23:15,"b'Get your #turkeyday started early with 40 #Thanksgiving themed specials on @netflix! We\'re firing up some ""Friends.\xe2\x80\xa6 https://t.co/xPsuCtbiBY'",SocailMedia,0.125,3,Neutral,
22-11-2017 21:35,"b""How will the #SVOD ecosystem change when this media giant's latest moves go into effect? https://t.co/jabDrFAaLj""",SocialMedia,0.25,4,Positive,
22-11-2017 19:15,b'@DClarke977 Hi @DClarke977. We apologize for the experience and for the inconvenience. Do you have a Case Number th\xe2\x80\xa6 https://t.co/h2ssP1jCms',SocialMedia,0,3,Neutral,
22-11-2017 19:06,b'@Safetydog17 3.Restart your device. 4.Access My Account and try to reactivate your TiVo device again. If none of th\xe2\x80\xa6 https://t.co/sRoS4tabMC',SocialMedia,0,3,Neutral,
22-11-2017 19:05,"b""@Safetydog17 Hi @Safetydog17. We apologize that you're having hard time reactivating your TiVo device using your My\xe2\x80\xa6 https://t.co/613aeGEKU9""",SocailMedia,-0.291666667,2,Negative,
22-11-2017 18:35,"b'#OTT revenue in Europe is expected to double by 2021, even though services are expected to consolidate.\xe2\x80\xa6 https://t.co/GW5cS9TPfc'",SocialMedia,-0.066666667,2,Negative,FALSE
22-11-2017 18:32,b'@BiGdOGGPHiL Hi @BiGdOGGPHiL. We apologize for the trouble. Have you tried to unplug the power cord of the TiVo box\xe2\x80\xa6 https://t.co/3VVA1L4Z7q',SocailMedia,-0.2,2,Negative,FALSE
22-11-2017 17:30,"b'Holiday #TV specials, like the ones on this kid-friendly list, are great for the whole family! https://t.co/KfhaG5Z6TS'",SocailMedia,0.525,5,Very Positive,FALSE
22-11-2017 01:15,b'Do these #TV show titles make sense to you? https://t.co/oK7bdmFRnF',SocailMedia,0,3,Neutral,FALSE
21-11-2017 20:05,"b""@mattrollo1 We recommend you shouldn't return it. This issue is being worked with the highest priority. Please give\xe2\x80\xa6 https://t.co/AGt2K9ga9Y""",SocialMedia,0,3,Neutral,FALSE
21-11-2017 19:19,"b'@mattrollo1 Thank you for the details. But, indeed, many of our customers reported to have experienced this issue a\xe2\x80\xa6 https://t.co/xy9avfyoE3'",SocialMedia,0.65,5,Very Positive,FALSE
21-11-2017 18:39,"b'@mattrollo1 I see. But, can you tell us more about the issue?  is there an error message or error code on the scree\xe2\x80\xa6 https://t.co/TApcFNsDKK'",SocialMedia,0.5,5,Very Positive,FALSE
21-11-2017 18:10,b'A new report shows that #OTT viewers talk about the brands they see on screen when co-viewing:\xe2\x80\xa6 https://t.co/pxybcGtSdn',SocialMedia,0.136363636,3,Neutral,FALSE
21-11-2017 17:47,b'@joelfinkle Hi @joelfinkle. We appreciate your suggestion. You might want to send this insight to our developers. J\xe2\x80\xa6 https://t.co/6dG4LOJkhC',SocailMedia,0,3,Neutral,FALSE
21-11-2017 17:44,"b""@mattrollo1 Hi Matt. We're sorry to hear this. But, do you have the dongle inserted at the back of the TiVo Mini? T\xe2\x80\xa6 https://t.co/inm2NUwGqa""",SocailMedia,-0.25,2,Negative,FALSE
21-11-2017 17:29,"b'@adamsentz Hi @adamsentz. We apologize for the inconvenience. But, you might want to tap the ""CC"" icon inside a rec\xe2\x80\xa6 https://t.co/MuE4fX2BjY'",SocialMedia,0,3,Neutral,FALSE
21-11-2017 17:15,"b""Ever wonder what happened before Frodo found the ring? You're in luck! @Amazon's new TV show will take us all back\xe2\x80\xa6 https://t.co/3gq1R7MWkT""",SocailMedia,0.136363636,3,Neutral,FALSE
21-11-2017 02:10,"b""Not everything can be a hit. These shows won't be returning to #TV screens anytime soon. https://t.co/hRupsyFLzb""",SocailMedia,0,3,Neutral,FALSE
20-11-2017 21:27,"b""@MPOWERDInc @alafairburke Same here. We're happy to help!""",SocailMedia,0.5,5,Very Positive,FALSE
20-11-2017 21:15,b'Walt Horstman will be on hand at the New York Videonomics Roundtable next week. https://t.co/01Uieo4ukl https://t.co/hRZgYYgLE8',SocialMedia,0.068181818,3,Neutral,FALSE
20-11-2017 18:45,b'What movies are you asking your #TiVo to play? #TalkToTheVOX https://t.co/pDF9yhn8Ms',SocailMedia,0,3,Neutral,FALSE
20-11-2017 16:17,"b'Meet our new president and CEO, Enrique Rodriguez. https://t.co/LAUjuJHxaJ https://t.co/Qs4DtzLbxV'",SocialMedia,0.136363636,3,Neutral,FALSE
20-11-2017 00:40,"b""@sganley I see. However, if the issue happens again, feel free to reach us back and we're always happy to assist you.""",SocailMedia,0.4,4,Positive,FALSE
20-11-2017 00:36,b'@ianmireland 5. Set up recording again for those shows that did not record but you set up to be recorded. These usu\xe2\x80\xa6 https://t.co/iGV1LUpEYB',SocialMedia,0,3,Neutral,FALSE
20-11-2017 00:36,b'@ianmireland 3. Reselect the network type you use (Settings &amp; Messages &gt; Network Settings &gt; Change network settings\xe2\x80\xa6 https://t.co/E3f06RldIX',SocialMedia,0,3,Neutral,FALSE
20-11-2017 00:35,"b'@ianmireland Thank you for the details of the issue. But, to keep your TiVo from doing it again, you might want to\xe2\x80\xa6 https://t.co/nsrF1wqRpI'",SocialMedia,0,3,Neutral,FALSE
19-11-2017 23:44,"b""@ianmireland Hi @ianmireland. We're sorry to hear that you're having trouble with your TiVo. To better assist you,\xe2\x80\xa6 https://t.co/VTtYcW3RDb""",SocialMedia,-0.066666667,2,Negative,FALSE
19-11-2017 22:47,"b""@sganley Hi @sganley. We're sorry to hear that your TiVo rebooted itself. To To keep it from doing it again, you mi\xe2\x80\xa6 https://t.co/x8XKbGWGaQ""",SocailMedia,-0.5,2,Negative,FALSE
19-11-2017 22:47,"b'@sganley After the DVR boots up, continue to add the other cables one at a time. If the issue continues, please let us know.'",SocialMedia,-0.125,2,Negative,FALSE
19-11-2017 20:55,"b""@Nonnalin Since you've already exhausted all the possible troubleshooting steps but to no avail, we highly recommen\xe2\x80\xa6 https://t.co/0f7eVqBOJJ""",SocialMedia,-0.08,2,Negative,FALSE
19-11-2017 20:54,"b""@Nonnalin We sincerely apologize for the inconvenience. We understand, you don't deserve this as you're our longtime  customer.""",SocailMedia,0.5,5,Very Positive,FALSE
19-11-2017 19:15,b'@Nonnalin They can further investigate the matter for you.  You can reach them at 877-367-8486 (Weekdays-7am to 6pm\xe2\x80\xa6 https://t.co/ltYHd91KfS',SocialMedia,0,3,Neutral,FALSE
19-11-2017 19:13,b'@Nonnalin I see. Have you already tried these troubleshoting steps:\n1. Uninstall the app?\n2. Power cycle modem or r\xe2\x80\xa6 https://t.co/9jsydb20FJ',SocialMedia,0,3,Neutral,FALSE
19-11-2017 18:34,"b'@Nonnalin Afterwards, restart your iOS devices and access the app again. These usually fix this, if not, please let us know.'",SocialMedia,-0.25,2,Negative,FALSE
19-11-2017 18:33,"b""@Nonnalin I see. Since it's a netwok error, you might want to power cycle your modem or router to refresh the inter\xe2\x80\xa6 https://t.co/XSDphrVt94""",SocailMedia,0,3,Neutral,FALSE
19-11-2017 16:59,"b""@Nonnalin Hi @Nonnalin. We're sorry to hear that you've been having trouble with the TiVo app. But, can you tell us\xe2\x80\xa6 https://t.co/wFajlnUqT0""",SocailMedia,-0.35,2,Negative,FALSE
19-11-2017 16:30,b'@LazyBoyHappyBoy Sorry to hear this. You might also want to try doing the Repeat Guided Setup to update your guide\xe2\x80\xa6 https://t.co/JCBsPJ0r6m',SocailMedia,-0.5,2,Negative,FALSE
18-11-2017 21:56,"b""Set your TiVos! Our #whiteout #sale starts bright and early on November, 21st! Who's ready? #TiVoExclusive https://t.co/BKGCfT9Dt5""",SocailMedia,0.25,4,Positive,FALSE
18-11-2017 19:35,b'@HDinHB Hi @HDinHB. We apologize for the inconvenience. Have you tried to reboot the TiVo box and force connect it\xe2\x80\xa6 https://t.co/RV4Vr3PRs2',SocialMedia,0,3,Neutral,FALSE
18-11-2017 19:28,"b'@osaddict Hi @osaddict. Unfortunately, there are no updates yet of when streaming from iOS device with cellular dat\xe2\x80\xa6 https://t.co/6yGZtLtSbL'",SocailMedia,-0.5,2,Negative,FALSE
18-11-2017 19:04,b'@erod550 Hi @erod550. Thank you for loving the SkipMode feature and for this feedback. To submit this to our develo\xe2\x80\xa6 https://t.co/92QQCUoJJh',SocailMedia,0.6,5,Very Positive,FALSE
18-11-2017 18:32,"b""@LazyBoyHappyBoy Hi @LazyBoyHappyBoy. We're sorry to know that you don't have the guide for Laff network. Have you\xe2\x80\xa6 https://t.co/kyPs0JprbQ""",SocailMedia,-0.5,2,Negative,FALSE
18-11-2017 00:10,b'How much #PeakTV is too much #TV? @Variety https://t.co/S9nHyqI60d',SocailMedia,0.2,3,Neutral,FALSE
17-11-2017 22:11,b'@alafairburke DM sent! Thank you for reaching out.',SocailMedia,0,3,Neutral,FALSE
17-11-2017 21:45,"b'Just as #4K begins to take its roots, analysts are already predicting huge growth for the next big thing in #TV\xe2\x80\xa6 https://t.co/skyGL24A5M'",SocialMedia,0.133333333,3,Neutral,FALSE
17-11-2017 19:52,b'We had a great time at the Beet Retreat Miami. Here\xe2\x80\x99s Walt Horstman discussing the future of consumer needs in the\xe2\x80\xa6 https://t.co/GM1XmlQrPx',SocialMedia,0.4,4,Positive,FALSE
17-11-2017 18:10,b'#Friday is upon us and we have the perfect recipe for a great #weekend: The Ultimate #Binge Guide! https://t.co/1rvePZ6qpq',SocailMedia,0.6,5,Very Positive,FALSE
17-11-2017 15:20,"b'With so much content available these days, viewers are having a hard time deciding what to watch:\xe2\x80\xa6 https://t.co/u7OgdM5gHq'",SocialMedia,0.102777778,3,Neutral,FALSE
17-11-2017 14:43,b'RT @TVBEurope: .@cndawesontv from @tivoforbusiness discusses the increasing adoption and engagement of voice search https://t.co/qduAg1D8FK',SocialMedia,0,3,Neutral,FALSE
16-11-2017 23:10,b'Apple announced a highly anticipated morning #TV show from @RWitherspoon and Jennifer Aniston. Will you watch? https://t.co/ff0GZnZ9CO',SocailMedia,0.16,3,Neutral,FALSE
16-11-2017 21:45,b'Did you get a copy of the latest #TiVoVideoTrends report? https://t.co/njkPDwQQTr https://t.co/Abn9tFAjI8',SocialMedia,0.5,5,Very Positive,FALSE
16-11-2017 19:34,b'@mlisag123 Please send in your direct message to @TiVoSupport so that we can check it out. Thanks!',SocialMedia,0.175,3,Neutral,FALSE
16-11-2017 19:10,b'This major theater brand is betting on #PVOD: https://t.co/tg4a9SN37T',SocialMedia,0.0625,3,Neutral,FALSE
16-11-2017 17:30,b'What better way to spend a cold weekend than inside bingeing 90s teen #horror flicks? https://t.co/fVCwcCchzp https://t.co/Q8W8EfFC1N',SocailMedia,-0.033333333,2,Negative,FALSE
15-11-2017 23:15,"b"".@Drake is making his return to #TV! While it might not be the #Degrassi reboot, we can't wait to see what he does!\xe2\x80\xa6 https://t.co/HQAmjMLDI0""",SocailMedia,0,3,Neutral,FALSE
15-11-2017 21:35,"b""Basketball and hockey are back in full swing. Have you considered TiVo's Sports Metadata packages? https://t.co/gbhHcV1jiA""",SocialMedia,0.175,3,Neutral,FALSE
15-11-2017 20:38,b'@mlisag123 Hello @mlisag123! We understand how frustrating this must be for you and we sincerely apologize. Please\xe2\x80\xa6 https://t.co/wGAoaIx4xI',SocialMedia,0.05,3,Neutral,FALSE
15-11-2017 18:35,"b""We're excited to have Walt Horstman at the New York Videonomics Roundtable: https://t.co/NYPPVkD7ko https://t.co/vE6meKwXd5""",SocialMedia,0.255681818,4,Positive,FALSE
15-11-2017 18:06,b'@berkson0 Would you mind sharing the phone number you were calling so that we can look into the issue? Thank you.',SocailMedia,0,3,Neutral,FALSE
15-11-2017 18:03,b'@berkson0 Thank you for bringing this to our attention. Please use @TiVoSupport if you have any other issues.',SocailMedia,-0.125,2,Negative,FALSE
15-11-2017 17:53,"b""@plank10 That's a good thing though. However, to further investigate the matter, we suggest that you contact our Cu\xe2\x80\xa6 https://t.co/kAKF0KtLeC""",SocialMedia,0.35,4,Positive,FALSE
15-11-2017 17:43,"b""@plank10 Sorry to hear this. To make sure that the YouTube app is the only app that's having the issue, have you tr\xe2\x80\xa6 https://t.co/0s3MtZwSLg""",SocialMedia,0,3,Neutral,FALSE
15-11-2017 17:30,b'Can you decode these #TV show acronyms? https://t.co/N87yjLvvai',SocailMedia,0,3,Neutral,FALSE
15-11-2017 17:23,"b""@lakeoskiguy Hi @lakeoskiguy. Unfortunately, TiVo doesn't work with SlingTV, Hulu Live TV and DirecTV Now. But, you\xe2\x80\xa6 https://t.co/F6NFaqQCF8""",SocailMedia,-0.181818182,2,Negative,FALSE
15-11-2017 01:15,b'Get the dish on the show that changed #reality #TV from #RealWorld creator @BunimMurray. https://t.co/L4NgT0Sl7L https://t.co/r8dPfyH4pa',SocailMedia,0,3,Neutral,FALSE
14-11-2017 18:10,"b""We're just getting started. https://t.co/SorpezVut7 @mandedaily https://t.co/lPDhg5a5Zl""",SocialMedia,0,3,Neutral,FALSE
14-11-2017 17:56,b'@plank10 4) Return to TiVo Central &gt; Apps &gt; Add &amp; Manage Apps. \n5)Force another connection to the TiVo Service. \n6)\xe2\x80\xa6 https://t.co/zBYfPUmWXX',SocialMedia,0,3,Neutral,FALSE
14-11-2017 17:55,b'@plank10 I see.  Please perfom the following troubleshooting steps: \n1) Go to Apps &gt; Add &amp; Manage Apps. \n2) Uncheck\xe2\x80\xa6 https://t.co/uurIBLIOEv',SocialMedia,0,3,Neutral,FALSE
14-11-2017 17:38,"b""@plank10 Hello plank10! We're sorry to hear that your having issues with the YouTube app on your TiVo. We'd like to\xe2\x80\xa6 https://t.co/0D0bWZpqZU""",SocialMedia,-0.5,2,Negative,FALSE
14-11-2017 17:15,"b""What's your favorite way to #TalkToTheVOX? Get inspired but some of our fans' favorite searches! https://t.co/Jd8XQ55pZ3""",SocailMedia,0.5625,5,Very Positive,FALSE
14-11-2017 02:10,"b""For those of you who haven't gotten to #StrangerThings yet (\xf0\x9f\x98\xb1 ) be sure to adjust this #TV setting before bingeing!\xe2\x80\xa6 https://t.co/uiQxyE1a97""",SocailMedia,0.5,5,Very Positive,FALSE
14-11-2017 02:02,"b'@colbe After these, force one more connection then perform a cold boot by removing all cables connected on your DVR\xe2\x80\xa6 https://t.co/ChruVlYsKG'",SocialMedia,-0.05,2,Negative,FALSE
14-11-2017 01:58,b'@colbe Please force a connection twice on your DVR by going to Settings &amp; Messages &gt; Network Settings &gt; TiVo Servic\xe2\x80\xa6 https://t.co/xtjuBcIjV2',SocialMedia,0,3,Neutral,FALSE
14-11-2017 01:55,"b'@colbe Hello Colleen! We sincerely apologize for the inconvenience that this may have caused you. However, we are d\xe2\x80\xa6 https://t.co/mF8QaQL7xC'",SocailMedia,0.5,5,Very Positive,FALSE
13-11-2017 21:15,b'#SVOD is poised to launch digital consumer spending over $200 billion by next year: https://t.co/tq1icdQSRQ',SocialMedia,0,3,Neutral,FALSE
13-11-2017 18:45,b'Have you heard about our awesome voice remote? @Mashable has all the deets on our new VOX lineup.\xe2\x80\xa6 https://t.co/r9qJglQsQa',SocailMedia,0.345454545,4,Positive,FALSE
13-11-2017 15:20,"b'Elegant, smart, simple and powerful. TiVo services. https://t.co/lzqXA6hyq5'",SocialMedia,0.253571429,4,Positive,FALSE
12-11-2017 16:37,"b""@jpr602 Hello John! We're sorry to hear that you're having issues with your TiVo. We'd like to know more about this\xe2\x80\xa6 https://t.co/Tf52do24Du""",SocialMedia,0,3,Neutral,FALSE
12-11-2017 16:22,"b""@sandiosandi Hello Sandi! We're sorry to hear that you're having issues with your TiVo Apps. We'd like to know more\xe2\x80\xa6 https://t.co/OQkG6ukw7U""",SocialMedia,-0.5,2,Negative,FALSE
11-11-2017 01:11,b'@c_kupec Power cycle the TiVo box. These usually fix the problem. 4/4',SocialMedia,-0.25,2,Negative,FALSE
11-11-2017 01:11,b'@c_kupec Return to  Apps &gt; Add &amp; Manage Apps. Force another connection to the TiVo service. Sign out of the app and back into it. 3/4',SocialMedia,0,3,Neutral,FALSE
11-11-2017 01:10,b'@c_kupec Force a connection to the TiVo servcie (Settings &amp; Messages &gt; Network Settings &gt; TiVo Service Connection). 2/4',SocialMedia,0,3,Neutral,FALSE
11-11-2017 01:10,"b'@c_kupec I see. But, you might want to do these troubleshooting steps:-Go to Apps &gt; Add &amp; Manage Apps. Uncheck the\xe2\x80\xa6 https://t.co/ATIMIACtq9'",SocialMedia,0,3,Neutral,FALSE
10-11-2017 23:55,b'@quick13 Hello @quick13! Sorry for the inconvenience right there! Can you send us more information about the issue through direct message?',SocialMedia,0.114285714,3,Neutral,FALSE
10-11-2017 23:15,b'Escape your own reality this weekend with these 27 binge-worthy reality #TV shows! https://t.co/DmYpAD6dcT',SocailMedia,0.75,5,Very Positive,FALSE
10-11-2017 21:45,"b""Piracy is set to cost #SVOD companies over $50 billion, but there's a silver lining for #streaming services:\xe2\x80\xa6 https://t.co/1N1OoSDffc""",SocialMedia,0,3,Neutral,FALSE
10-11-2017 21:31,"b""@7heather Hi @7heather. Thank you for your feedback. We'll make sure to send this insight to our developers.""",SocialMedia,0.5,5,Very Positive,FALSE
10-11-2017 18:05,b'@c_kupec Is there an error message or error code? Have you tried checking the other apps like YouTube and Amazon if\xe2\x80\xa6 https://t.co/lb3EHegwMq',SocialMedia,-0.125,2,Negative,FALSE
10-11-2017 17:30,"b""#ThorRagnarok might be the best #Marvel movie yet! Who's lining up for this flick tonight? https://t.co/LYkCIQ33MY https://t.co/oKhCjMmKSK""",SocailMedia,1,5,Very Positive,FALSE
10-11-2017 15:20,b'TiVo finds its voice with new VOX products: https://t.co/kZasFZeF5p via @MultiNews #TalkToTheVOX',SocialMedia,0.136363636,3,Neutral,FALSE
10-11-2017 01:15,b'Score points with your mom this holiday season \xe2\x80\x93 take her to see #ABadMomsChristmas! https://t.co/GzXeYIrEdf https://t.co/zqAUoOiCqA',SocailMedia,0,3,Neutral,FALSE
10-11-2017 00:27,b'@sdsalsersmith @ted_malone Just want to loop in @TiVoSupport to make sure we are taking care of you!',SocailMedia,0.625,5,Very Positive,FALSE
10-11-2017 00:03,b'@c_kupec Hello Christina! We sincerely apologize for the inconvenience. Can you tell us more of the problem and the\xe2\x80\xa6 https://t.co/kW7YeaQaEz',SocialMedia,0.5,5,Very Positive,FALSE
09-11-2017 23:45,b'YouTube viewing on #TV is up 70% from last year. What does that mean for the TV industry? https://t.co/OUmJqvJR3i',SocialMedia,-0.15625,2,Negative,FALSE
09-11-2017 21:45,b'Stay ahead with TiVo. https://t.co/LlOASngM5s',SocialMedia,0,3,Neutral,FALSE
09-11-2017 20:13,b'We \xf0\x9f\x92\x99  hearing from our customers! Thank you to all of our fans who came out to TiVo headquarters to #TalkToTheVOX!\xe2\x80\xa6 https://t.co/YPVfWSRrzK',SocailMedia,0,3,Neutral,FALSE
09-11-2017 17:15,"b""You don't have to leave your couch to travel the world, just #TalkToTheVOX and sail away! https://t.co/bndWcRDUlz""",SocailMedia,0,3,Neutral,FALSE
08-11-2017 21:35,"b'As #OTT evolves, many smaller platforms are positioning themselves as complementary to larger #streaming services. https://t.co/ZXbfnW2Aq7'",SocialMedia,0.166666667,3,Neutral,FALSE
08-11-2017 20:56,"b'@DMurph1979 However, you can always provide us feedback and suggestions at this link: https://t.co/Yxv2BH3rSH'",SocialMedia,0,3,Neutral,FALSE
08-11-2017 20:55,"b""@DMurph1979 Hello Murph! There were no announcements in regards to this concern yet. But once we have, we'll make sure to let you know.""",SocialMedia,0.5,5,Very Positive,FALSE
