Date,text,DataSource,Polarity,SentimentScore,Sentiment,Feature
"September 25, 2016","Stop renting your DVR and paying taxes every month. This works great and is fun to use!	We decided to reduce our cable bill has much as possible by buying our own equipment last year. We selected the TiVo Bolt because it was 4K compatible and because the guide and search features across all the platforms we use, Netflix, Amazon Prime, and Hulu, was included. We've had it almost a year and I couldn't be happier. It's very intuitive to use and I love accessing my DVR in the bedroom using my Galaxy and headphones at night with the TiVo app.The ability to skip commercials with many recorded shows and to increase the play back speed without decreasing sound legibility on programs like Antiques Roadshow is a great timesaver (and I don't fall asleep watching slow talking shows as much anymore). Occasionally, the unit will stop functioning, but his is usually after one of our too frequent Florida power outages. After contacting customer service, which was a good experience, I learned to just re-boot, the answer to most of life's electronic problems, and was back on line quickly. After 10 months, the unit paid for itself in DVR rental fees. I pay about $5.00 a month for a cable card, but that's nothing compared to $25.00 plus taxes on a unit that's not nearly as powerful and fun to use at the Bolt.We didn't buy the lifetime service for the guide because I was a bit nervous not knowing how long our box would last. I will probably kick myself if we're paying a guide fee that will start this November for two years, because that's the pay off point. By then, though, I may be tempted to get the latest and greatest new Bolt.",Amazon,0.75,5,Very Positive,Commerical Skip
"September 2, 2016","Worth it for skip feature alone!	My TiVo was about nine years old, and we had it on an older TV set. When we finally updated to a HD TV my old TiVo couldn't handle 1080p, and if a show isn't on the TiVo we're pretty much just not going to watch. I was hesitant to update the TiVo because my goal is to get rid of cable eventually, but I'm glad I did. I know there may have been good TiVos after my old one, but I think this one is the only one with skip capability and I LOVE IT. If I show doesn't have skip I get irritated that I have to manually fast forward through the commercials. And the upgrade of how many shows we can record at the same time is helpful. We don't keep movies etc on the TiVo so we didn't need the higher capacity and we find there is enough storage for what we need, just a few shows a week that we delete as we watch. If you like to keep shows and movies too re-watch it would be worth it to get the higher capacity.",Amazon,0.75,5,Very Positive,Commerical Skip
"May 2, 2016","The Cadillac of DVRs	This is my third TIVO purchase since 2001. I have used other DVRs but I keep coming back to them. This time I cut the cord and use this as a combo receiver and DVR. This company just seems to ""get it"", their recorders offer more. TV should be simple. This keeps your antenna, various streams, YouTube and even Pandora all off one easy to surf menu. The OnePass options to have a permanent constantly renewing list by genre, TV Show, actor, etc, is just one of many functions that has come standard with Tivos that others are still slow to catch on to, and the new function of commercial skip (where applicable) does what it says it does...jump the entire commercial break with a press of a button and back to the show.The only new function I can't speak to is the Fast Play, which is not an option I would choose to turn on, but for binge watchers I could see how something like that would be useful. If you are cutting the cord and can make the investment, this is worth every penny, easily the Cadillac of DVRs.",Amazon,0.75,5,Very Positive,Commerical Skip
"November 17, 2015","Awsome!	The best DVR available.  Skip mode is great, one button press to seamlessly cut through the entire commercial segment and it lands you a few seconds before the show resumes.What I like most about the Tivo Bolt is how it incorporates Live TV, DVR, as well as popular streaming services into one easy to use interface.  Want to watch the live Sports game?  Bam, ok you're done.  Want to watch something from Netflix or Amazon Video?, you no longer have to switch inputs or mess around with another piece of hardware like a Roku or AppleTV.  The Tivo Bolt lets you watch shows from Netflix, Amazon and others just as easy as if you were going to a Live TV station.It's a game changer device IMO.  Combine the Bolt with Mini's around the home and you now have a unified media network that will stream LiveTV, RecordedTV around the house and also play stuff from the best streaming services.So much better than having to deal with the punitive pricing structure of Cable and Satellite providers who punish their subscribers for using multiple TV's.",Amazon,0.75,5,Very Positive,Commerical Skip
"July 11, 2016","Love the Bolt, but there are a few things to be aware of....	We mostly love the Tivo Bolt.  We've been using it for about a few months now and here are our thoughts...Things We love:1. SUPER SKIP!!! It is amazing, just push one little button at the start of a commercial break and BAM, you're back to your show!2. 4 Tuners, we only had 2 on our TiVo Premiere 500 GB DVR (Old  Version) - Digital Video Recorder and Streaming Media Player - 2 Tuners and while I didn't think we needed more than 2 tuners most of the time, it was always annoying to miss an episode of a show when schedules got moved around and there were 3 things needing to record.3. We mostly upgraded because we got a free year of service when we purchased, which meant that we could upgrade our Tivo for just $120 if you considered that we were paying $15 a month for service anyways.  And after 6 years we figured a new Tivo for $120 was probably a smart idea in the long run.4. Still works with an Expandable Hard Drive, so we bought the smaller Tivo and transferred our Expandable Hard Drive from the Premiere to the Bolt and it's still compatible.  However we did watch and delete all programming off of it before moving it, Tivo says you can transfer programming in theory, but we couldn't ever get it to work.Things We don't love:1.  You know that spiny wheel that comes up during prime time when too many people are on the internet & Tivo's servers, it's not a software thing with your old Tivo, it still happens with the Bolt, don't buy the Bolt because you think it'll be faster to load, it's just as slow as any other.2. Super Skip doesn't work on all channels or even",Amazon,0.75,5,Very Positive,Commerical Skip
"April 29, 2016","Commercial Skip Feature is the Greatest!	After a net realized price increase of 23% to my cable bill I decided enough was enough.  Like many so what if I get a zillion channels. Most of them are never watched because they are useless.  So I started off purchasing an HD antenna to get all that I really wanted which was network channels.I stumbled across the Tivo Bolt and one of many things that got my attention was the ""Commercial Skip"" feature! After reading about its functionality I thought to myself I ""need this feature!""  I despise commercials, especially when most times they are repeated over and over during the same show.  Also, the prescription drug commercials during prime time are on the top of my list for annoying as well.I will be the first to admit that I love my gadgets so to justify this purchase was simply the mathematics.  Since I cancelled cable which resulted in approximately a $50 a month savings. The Tivo Bolt service is $15 a month. Since the current special includes a year of service the net cost equates to a little over $55 bucks for the device. Not bad at all!My Tivo Bolt arrived yesterday and the setup was very easy. It took close to an hour but the majority of that time was downloading and installing updates. The channel scanner located all of my network channels and I was ready to go with no issues or errors.Things I like:1.  Commercial Skip is the best. I feel so empowered when I use it. A victory if you will.2.  I like the one stop shopping for video and entertainment. No more switching input sources, hdmi 1, hdmi 2, etc. to use another source for streaming or subscriptions. Pretty much all",Amazon,0.75,5,Very Positive,Commerical Skip
"February 25, 2016","First TiVo and loving every aspect of it!	Due to increasing cable costs, I've been trying find ways to cut my bill. For awhile I've been considering getting a TiVo. This would allow me to ditch my cable companies dvr box and dvr service. When I heard about the TiVo Bolt I decided it was time. I've had the TiVo for a week and so far I love this thing. Far more options than I had with my cable supplied dvr box. The TiVo programming and recording is pretty simple. For those considering making the switch you'll find that the TiVo has everything you get from your cable company box, plus a whole lot more. For me the perks are the commercial skip, although not available on every show, it's available on many of the shows I record. Also the QuickPlay feature is good for watching shows that you may have stockpiled. Bing watch in less time. Netflix, YouTube, Amazon Prime, and more are all easily accessible. As well as Spotify (although you need a full membership to access it), I Heart Radio and On Demand (depending on your cable provider). Now, the down side. I set mine up a week ago, it's taken that week to access everything. I had the cable card (required to get your cable channels) I had a wireless connection (required to access the TiVo guide and features). But I couldn't get everything to talk to one another. My first problem was getting the MAC address to talk to my router. My set up requires me to enter the MAC address for whatever I connect wirelessly. However you need to do a software upgrade as soon as you start the TiVo. Not possible if you can't connect wirelessly. I needed to connect thru my Ethernet, then could find",Amazon,0.75,5,Very Positive,Commerical Skip
"November 18, 2015","TiVo keeps getting better and better.	I upgraded from a TiVo HD to the TiVo Bolt.The new TiVo Bolt works great with Comcast XFINITY cable TV and the other internet video services I use (like Netflix, Amazon Video and YouTube).I like the speed of the new TiVo. The new user interface, while taking a few days to get used to, is really an improvement.  The new remote control is great (and not having to point it at the TiVo is wonderful!)  The iPhone app works pretty much flawlessly for scheduling and viewing recorded content (and I can use my iPhone as a remote control if I can't find the remote!)  The commercial skip is really effective on the shows that support it.  Configuration with the Comcast cable system was time consuming but straightforward and we experienced no issues there.  There was a little hiccup when I tried connecting the Extender Drive from our old TiVo, but a new cable fixed that and we are up and running with 1.5TB of storage.",Amazon,0.75,5,Very Positive,Commerical Skip
"May 1, 2016","Great Upgrade	Fantastic upgrade to my Series 3.  I was a bit bummed that I couldn't keep my existing rate, but the free year makes up for it.  The interface is even better and more intuitive than before.  I wish I had made the switch immediately after the release.The Skip Mode is nice, but so rare for what I watch, it's not a huge selling point.  Also, I don't find the One Pass terribly helpful add I don't subscribe to Hulu and it links to Paid Amazon content rather than Prime...So I find it a bit annoying I can't have it recognize what is substitution based vs what I already pay for.  Obviously this is easy to ignite with the click of a button.Swapping cable cards was a snap and quickly recognized.",Amazon,0.75,5,Very Positive,Commerical Skip
"January 7, 2016","Love my new TiVo	First, I must say, I love this Tivo box.  That said, here's what I would like enhanced and fixed.1.  It needs more tuners.  I have two minis and I find that sometimes I have to put one in standby to watch live tv on the other.2.  The bolt cannot keep up with the required 30 sec skips all the time and gets locked from further skips.3.  I have a tuning adapter attached to the bolt.  I think it would be an enhancement if there was a ""tuning adapter"" coax out on the bolt.  It would simply be a moca filtered split from the input coax jack.  That would take all the mis-configuration problems out of using  a tuning adapter.4.  Tivo suggestions need to be a little ""smarter"".  I constantly delete all the ""sports"" suggestions and then find them back again.5. The ""lifetime"" subscription option needs to be revisited.  I expect within 3 to 4 years, TiVo will have more and better equipment offering.  Why would I pay 4 year subscription fees up front to save what I would most likely not need four years later?  If I bought a lifetime subscription, you can guarantee that I will do everything not to have to buy your latest equipment offerings.Finally, overall, I love the bolt and tivo service.  I am saving $36 a month on my Charter bill.",Amazon,0.75,5,Very Positive,Commerical Skip
"February 7, 2016","Bolt beats All DVR's	Best DVR we've ever had. Love the universal search option that let's us watch content on Amazon Prime, Plex, HBO and Xfinity streaming.  Of course the standard Tivo features are great and the new commercial skip is awesome. It's been over 10nyears since we've had a Tivo DVR and we're so glad we're back with it now.  We put a Bolt in the living room and a Mini in the master BR and it works better than our old Directv whole home system.",Amazon,0.75,5,Very Positive,Commerical Skip
"March 23, 2016","Love It!	Loved my Tivo Premiere, love this more. Setup was easy - just paired it with my old cablecard and I was off and running. It's much faster than the Premiere, all the apps work well, and has the benefit of commercial skip which has worked with virtually every current running program. It doesn't work with older programs or recorded movies but that isn't a big deal. The menu is nearly identical to the updated Premiere menu so there was no learning curve. In addition I set up a Mini in my son's room which was an absolute breeze using MoCA. The only problem I encountered was that I had set it on my DVD player (yes, a 9 year old DVD player that works perfectly!) and the heat from the Tivo (which is considerable) caused the DVD player to seize up! A little rearranging after the player cooled down solved the problem. But the heat output is something to keep in mind.For those complaining about the $14.99 a month charge after the first year just keep in mind that it is WAY more than that for the cable company's DVR on a monthly and they don't have anything that equals the Mini which doesn't have any additional monthly charge.",Amazon,0.75,5,Very Positive,Commerical Skip
"June 19, 2016","The ONLY alternative to cable box.	After a long hiatus, I have returned to TiVo after last using a Series 2 many years ago. The wife loves it compared to the kludgy HDHomerun/WMC/NPVR setup I had been running. I wish it used a 3.5"" drive instead of 2.5"" for larger and cheaper upgrades. The TiVo app for iOS and Android works great. I'm also running the TiVo beta app on my Firestick and it works well enough but I plan on getting a TiVo mini in the near future.I hate the color and design of the box. My favorite feature is the new skip function. It has spoiled me to the point that I wish it was available on all programs.",Amazon,0.75,5,Very Positive,Commerical Skip
"October 27, 2015","so good. A significant upgrade from our 2 Premiers	So far, so good. A significant upgrade from our 2 Premiers. I coupled the BOLT with a TiVo mini which resulted in a great savings as I was paying the monthly service on one Premier plus the fee for the cable card. What I'm saving will pay for the TiVo mini in less than a year. The commercial skip feature is awesome and the menus are much faster. It's also quieter and takes up less space. The funky shape isn't a big deal as it sits right on top of our Blue-Ray player in the entertainment center without any issue. Highly recommend.",Amazon,0.75,5,Very Positive,Commerical Skip
"November 3, 2015","Love the ""skip"" button though still not many shows available ...	Love the ""skip"" button though still not many shows available for that feature.  Note: the show has to be completely recorded to have the ""skip"" feature work (i.e. you can't start watching after it's only half over and have the skip feature work).  The ""speed"" feature is really great - things go faster yet the voices maintain their same pitch.  A recorded football game or even a fast-moving basketball game is easy to watch and you get through it so much faster.  Unit is MUCH smaller than the previous TIVO's and the remote now works with radio frequency so it the TIVO can be behind a closed cabinet and still work fine.  Excellent improvements.",Amazon,0.62,5,Very Positive,Commerical Skip
"February 2, 2016","Newbie DVR user or cable/satellite switcher, this Bolt's for YOU!	My new Bolt is full of features that every TV watcher wants. And while not ALL shows allow the commercial ""SKIP"" feature, the ones that do make them so much more enjoyable to watch. I love ""One Pass"". Since I hardly ever watch ""live"" TV anymore, the ability to set up a recording so easily is awesome. And the options are also awesome. With my new Digital Antenna mounted outside, I get ALL of the local channels, and with N****x and A*****n P****e, who needs anything else? The only thing I had a problem with was programming the remote. As awesome as everything else is, you'd think that little chore would be a whole lot simpler/easier. I'm still not able to get one function programmed. A tech support person helped me get it done the right way. She was very helpful. Oh, and the app for my iPhone is awesome too.",Amazon,0.62,5,Very Positive,Commerical Skip
"May 17, 2016","Best DVR out there	I absolutely love the BOLT.  I was in a situation where it was going to cost me $25 a month to get a DVR from Comcast. Enter Bolt.  This product came and looked as it does in the picture.  The design is absolutely flawed and looks bizarre but it still looks nice on my entertainment system.  This was pretty simple to set up and after putting the cable card in I was off to the races. The Skip mode is fantastic when you get a chance to use it.  TIVO get more channels on skip mode please.  The remote seamlessly adapts to your TV and I love how the DVR is always picking stuff it thinks I'll like and gets smarter every day.If you are looking for a DVR, this is your go to.",Amazon,0.62,5,Very Positive,Commerical Skip
"February 29, 2016","DVR as desired, as it should be!	TiVo has finally offered what it should have all along. I have used TiVo for at least 10 years purely because it is the best DVR on the market... but now it has reached its goal of being an entertainment hub.Netflix and other apps no longer lag in uselessness. I am now able to use Netflix, Plex, etc... and the responsiveness is amazing.My wife especially loves the 1 click commercial skip. We got a mini for the bedroom and they work seamlessly together.",Amazon,0.62,5,Very Positive,Commerical Skip
"April 6, 2016","I love this! We cut the cord with our cable ...	I love this!  We cut the cord with our cable company!  We have an antenna for local channels and Netflix (so far) for other channel series & movies.  We are saving $100+ / month.  I also really like the commercial skip for those shows broadcasted with the feature.  It finds the end of them, no fast forwarding and the remote not stopping in time then having to rewind, AND best of all it doesn't jump to the end if you need to fast forward near the end of the show either !!!!  We also purchased TiVo Mini's for a couple of other TVs, which allow us to watch what is on the main unit from anywhere without having to pay hundreds more dollars for the service !!",Amazon,0.62,5,Very Positive,Commerical Skip
"February 25, 2016","All of the advertised features work great. Once you use the skip mode you'll wish ...	Pros: All of the advertised features work great. Once you use the skip mode you'll wish it worked on everything. They don't even list the ease of setting up other TVs. I you have your home networked wired where the TV is you can use that, but if not you simply plug one of your existing coax connections into it and it sends the signal over all the coax in the house.  You have to buy a Mini ($100-$120) but no extra monthly fees.Con: I've had to reset my minis (3 of them) about 5 times, not each but total in the first 2 weeks that I have had them. I have Charter and there is no way to get video on demand with the Bolt.",Amazon,0.62,5,Very Positive,Commerical Skip
"January 25, 2016","Hooked on TIVO	I was getting tired of paying so much to Time Warner every month for an HD DVR. Decided to take a gamble and try out TIVO. So far the experience has been great! I love the skip button, and even the suggested shows. I may have even convinced a few friends to jump on board. Even though an annual subscription fee is needed, it still saves me about half of what Time Warner was charging.",Amazon,0.62,5,Very Positive,Commerical Skip
"November 18, 2015","The idea that TIVO will show you a show you are looking for on Netflix and Amazon is great as well	I'm loving the TIVO Blot so far, commercial skip, record quality and TIVO menu are exactly as expected they would be.  The idea that TIVO will show you a show you are looking for on Netflix and Amazon is great as well, minimizes searching. It will be almost perfect when HULU is on the menu.The next thing you need are new mini's that work via wi-fi to complete this modern answer to a DVR.",Amazon,0.62,5,Very Positive,Commerical Skip
"June 21, 2016","Great system	We cut the cord and are now cable free.  The TiVo allowed us to get shows we couldn't get on antenna alone. Picture is sharp and clear.  We did have to call customer support to set up but with their help we got it up and running in no time. More a problem of being tech challenged than a problem with TiVo.  Customer service was patient and friendly.  And the best part...there is a ""skip"" button that allows us to skip past commercials on recorded shows.  Can't complain about that!",Amazon,0.62,5,Very Positive,Commerical Skip
"October 27, 2015","Very glad to be back to TiVo	Works well with TiVo mini (2) over the Verizon FIOS MoCA 2.0 coax cables in my home.  Very glad to be back to TiVo.Would probably work with the proper OTA antenna (e.g. Mohu Leaf), but I have not yet completely cut the cord.  On the wish list is HBO Now as an App, to go with the pre-installed Netflix and Amazon apps.  Great job, TiVo (the ""skip"" feature will make you grin, each time you use it!)",Amazon,0.62,5,Very Positive,Commerical Skip
"November 1, 2015","Upgrading from Roamio to Bolt - Cost Subsidy, Performance and UI Improvements, Includes Tivo Steam Functionality	I upgraded from the Roamio to the Bolt as soon the Bolt Shipped.  For me, here is the true cost of the Bolt.Price and Tax (purchased from Amazon):  $330.00 less 5% using bank card promotion - $315 less one year's free service $180.00 - less Sale of Tivo Stream whose functionality is built into the Bolt (but missing from Roamio)  $90 - Tivo refunded me back the last month of Roamio which had just begun $15.00 + cost of 2nd remote $30.00. It can easily be seen the upgrade didn't cost me much.What am I doing w/two remotes operating Tivo?  Won't say, but hint - the remote uses RF to control the Tivo box.Performance/Aesthetic/UI Improvements:- Remote is white and does not show dirt, it seems ligher, the quality of the Tivo button in particular is improved- UI now uses a more modern white background- The white curved Tivo is very cool looking. Much cooler than the Roamio- Have not tested the commercial skip feature - its vaporware  unless you watch soap operas during the day. Would have been really handy during the Republican Presidential debate- The UI is much faster. Screens snap. Everything is faster-Streaming in 2nd room is much faster. Faster queuing and less buffering-wifi is much faster-Tivo refunded me back the last month of Roamio which had just begun.Definately worth upgrading!Update:  Suddenly as I began to fast-forward, a prompt appeared asking me if I wanted to skip the commercial by hitting D on my remote. Happened instantaneously.  A killer feature.Dropped the remote on the floor - these remotes are",Amazon,0.62,5,Very Positive,Commerical Skip
"January 6, 2016","WHAT A GREAT DEVICE	I dropped AT&T Uverse TV.  What I really liked about it was the DVR from them.  I hated giving that up.  Then I read about TIVO.  The more I read the more I liked the idea.  So I bought a TIVO BOLT.  I was a little skeptical on whether it would be as good as the claims made.  Well.  It lives up to all the hype.  Just love this thing.  The skip button, to avoid commercials on a recorded show, is worth buying it.  Then you get into scheduling, organizing etc.  WOW.  I highly recommend this product.",Amazon,0.62,5,Very Positive,Commerical Skip
"March 4, 2016","the skip and fast speed features are great. Really happy with this purchase	I was hesitant to upgrade from my old TiVo Premiere, since there was nothing wrong with it. Finally decided to add another TiVo and picked this up, and WOW what an improvement. Very fast, the skip and fast speed features are great. Really happy with this purchase, and will now probably plan to upgrade the Premiere.",Amazon,0.62,5,Very Positive,Commerical Skip
"January 24, 2016","Hidden Diamond of Value	Excellent commercial skipping-Aggregates Hulu netflix -good youtube app-Pandora....much better than cable company dvrs! Using with OTA (painful to get right for apt at first but now works) but if I have to add basic tv to my cable package, the real hidden value diamond is having my own equipment makes negotiating post promo rates on net or tv w cable company a cinch!  If I cant get promo rates I cancel & my wife simply becomes new subscriber getting promo rates.  Also when you back out the cost of the 1 yr service included $280-$150(would pay more anyway to cable company) and the cost of stream function already included ($130) essentially the box is free.  They are marketing this all wrong, they should show the value above & finance or lease these things to make it easy, then work out local antenna install options like amazon does.  Its not about saving $ on dvr rental but flexibility of having good dvr/content aggregator without having to step up to large channel packages or losing dvr content if you cancel. The world will pay for convenience in between a lifetime cost package and otherwise large monthly cost w/fixed packages of channels dont want just to get DVR. Tivo if your listening I'll be glad to share my additional insights for a consult fee.",Amazon,0.62,5,Very Positive,Commerical Skip
"December 31, 2015","Great Upgrade	Love it. Easy access to my Xfinity, Amazon Prime as well as all my regular recorded shows. Skip Mode is brilliant. Also have paired with a TiVo Mini to expand HD viewing experience to another room in the house. This replaced a Premiere 3 which has over 5 years old. Hope this one last as long.",Amazon,0.62,5,Very Positive,Commerical Skip
"November 11, 2015","The Plex App is worth the purchase alone!	First, this box is half the size of previouse boxes.Second, the Plex app is absolutely bullet proof and anyone running a NAS  or video server should buy a Bolt.  I have had many other product that could not keep up with Plex, however the Bolt is flawless.Third, I would like to see an  algorithm that can. Predict the commercial skipping.  Currently, only some of the prime time  shows  can skip commercials.",Amazon,0.62,5,Very Positive,Commerical Skip
"May 4, 2016","A great evolution of an already great product!	My Series 4 (Premiere HD) was already the cornerstone of our entertainment system, but now the Bolt can connect to more services and my sites can be reached from anywhere and many shows we can skip the commercials. Haven't tried some of the other new features, but I look forward to trying them all.",Amazon,0.62,5,Very Positive,Commerical Skip
"October 6, 2016","cool features. love the commercial skipping for prime time	very snappy. cool features. love the commercial skipping for prime time.",Amazon,0.62,5,Very Positive,Commerical Skip
"December 22, 2015","Love the Bolt!	We are very happy with our new Bolt. It is far superior to cable company DVRs but still integrates perfectly using a Cable Card. Skip mode is a joy. We've used Amazon Prime more in the first 2 weeks than we have in years with the easy access of a single device, single remote.",Amazon,0.62,5,Very Positive,Commerical Skip
"November 2, 2015","Tivo is great and Bolt makes it even greater	Tivo is great and Bolt makes it even greater, LOVE the 30% faster mode almost as much as the new skipping of full commercial breaks, great modern look to it too!",Amazon,0.62,5,Very Positive,Commerical Skip
"May 15, 2016","The Best DVR made today!	Awesome! I don't have to waste as much money with the cable company and get the best DVR ever! I wish more shows had skip mode and it had component output. Only HDMI output. But I still love it!!!!",Amazon,0.62,5,Very Positive,Commerical Skip
"February 2, 2016","Nearly flawless. Waiting for Skip feature to work. ...	Nearly flawless. Waiting for Skip feature to work. Apparently Tivo hasn't marked anything I watch for commercials.. of course I've only recorded a few things with it as of yet,",Amazon,0.62,5,Very Positive,Commerical Skip
"March 3, 2016","Absolutely the best Tivo yet	I have had Tivos for years and finally one that is fast, skips commercials on many programs, is great...way to go Tivo!",Amazon,0.62,5,Very Positive,Commerical Skip
"March 15, 2016","Best one yet.	New features 'fast play' and commercial skip work great.  I love it.",Amazon,0.62,5,Very Positive,Commerical Skip
"March 8, 2016","love it. skip feature is	love it.  skip feature is great",Amazon,0.62,5,Very Positive,Commerical Skip
"May 29, 2016","Much better than cable company DVR's	I had a Tivo about 7 years ago and ended up returning it because it just would not work properly with Charter Communications.  I gave it one more shot and bought this Tivo to go with my Time Warner cable.  I am glad to say that this time, it works great. **IMPORTANT information - If you are having the cable company come out to do the install, plug in your Tivo box a least a day before and have it do it's updates.  I didn't realize this and still had the Tivo box in it's packaging when the cable company arrived to do the install.  The tech told me that the over the air update process for the Tivo box takes up to 24 hours and that he could not install it until it was updated.  The tech ended up installing the rest of the system and not the Tivo.  I had to plug the Tivo box into the outlet, hook up the WiFi and then let it go through the setup and update process.  Unlike what the tech said, the whole process only took about 1.5 hours.  Either way, you should be aware of this and have it ready to go if someone is going to hookup this box for you.I love the features on this Tivo.  The commercial skip button is very convenient to have and I really use the Amazon prime video app a lot on my Tivo.  I've had DVR's from Directv, AT&T, Charter Cable, and Time Warner Cable before.  I think it's a toss up between the Directv DVR and the Tivo.  The Directv DVR was very intuitive and easy to use and had 6 tuners.  The Tivo has the Amazon app and 4 tuners.  The fact that it has the Amazon app and it is so easy to watch Amazon Prime videos, makes up for the less tuners and less intuitive system.  Ov",Amazon,0.62,5,Very Positive,Commerical Skip
"January 23, 2016","Just awesome	I've owned the Bolt for about 3 weeks now, and have added 2 Minis, one at a time, since.  It was a somewhat rocky road getting all of the devices configured - especially the Minis, but it was worth it.  The user experience, compared to the FIOS, is like fast forwarding 10 years into the future.  Just the ability to block stations you never want to see again is awesome.  It's fast, intuitive, and fun.  About half the shows I've recorded respond to the ""Skip"" button on the remote, which skips all commercials perfectly.  Wow!  I'm not sure why, but the picture and especially the sound quality has greatly improved.  Most everything is Dolby Digital now - it wasn't before.  And I love not paying $50 at month for the big clunky FIOS boxes and those awful remotes.  In about 12 months, I'll hit the break even for all of the Tivo equipment, and at that point will just be paying $15 a month to Tivo for their service, and whatever FIOS gets for a single cable card, which is all you'll need for your entire TIVO network.Most of my setup difficulties came from Tivo's assumption that if you are a FIOS customer, you are already MOCA enabled.  I wasn't, and caused a lot of headaches.  There's an easy way to tell - if your FIOS router has an ethernet connection coming in, you're not MOCA enabled.  FIOS can set that up for you remotely.  Once you are, makes sure there's no ethernet cable connected to your Bolt - as internet connectivity will also be coming in through the coax cable.  If there is, the Bolt will work fine, but the Minis won't.Tivo rocks!",Amazon,0.62,5,Very Positive,Commerical Skip
"November 29, 2015","Commercial skip is great when you get it	I am impressed. Only using antenna and OTA signals.Here in Indianapolis we get ~40 channels OTA. I also upgraded the hard drive to a 2TB drive with no issues (search XDA forums on how to videos). It has been up and running almost 2 months now. Records consistently and commercial skip (when you get it) is fantastic. We have a Mini on order to set up in the basement.",Amazon,0.6,5,Very Positive,Commerical Skip
"March 11, 2016","Takes a long time to update and set-up. Haven't ...	Takes a long time to update and set-up. Haven't tried it yet, but looking forward to the new commercial skipping feature!",Amazon,0.75,5,Very Positive,Commerical Skip
