Date,text,DataScource,Polarity,SentimentScore,Sentiment
26-04-2017,"TiVo's supply of on-demand apps continues to grow, but at the moment this includes Netflix, Amazon Instant Video with Prime, Hulu Plus (coming soon to Bolt), YouTube, Yahoo, Aol On, Vudu, Plex, Web Video Hotlist and HSN for video. Spotify, iHeartRadio and Pandora are available for music. Also, the app platform is based on the Opera web browser, and the Bolt has access to apps developed for that browser. ",TechReviews,0.166666667,3,Neutral
26-04-2017,"One of the most important features of the Bolt isn't new, but it\xe2\x80\x99s improved: it combines old-fashioned cable TV with popular online streaming services in one box. That means you can go from cable to Netflix without the common hassle of changing your TV\xe2\x80\x99s input to switch from your cable box to, say, your Apple TV or Roku.",TechReviews,0.267272727,4,Positive
26-04-2017,"For years now, TiVo has been quietly (and clumsily) integrating services like Netflix and YouTube and Amazon Prime into its boxes, but it hasn\xe2\x80\x99t boasted much about it.",TechReviews,-0.033333333,2,Negative
26-04-2017,"In fact, the whole product is faster and smoother, due to a faster processor and triple the memory, when compared to the base Roamio. Also, the user interface is now almost entirely HD, except for two subsections of the settings menu. And the platform for apps like Netflix is now HTML5 only. The company junked Flash.",TechReviews,-0.145,2,Negative
26-04-2017,"In my tests, Netflix and Amazon Prime and YouTube looked as good as they do on Apple TV and Roku. And, if I had a 4K TV, Netflix and YouTube could have looked even better, since the Bolt supports their 4K programming.",TechReviews,0.6,5,Very Positive
26-04-2017,"Well, the Bolt only offers a handful of the many, many online streaming services available from Roku or even the more-limited Apple TV: Netflix, Amazon, YouTube, Vudu, Yahoo, and popular music services including Pandora and Spotify. It doesn\xe2\x80\x99t include Hulu, which is on the Roamio, but TiVo says it expects Hulu to return once its app has been reconfigured for HTML5.",TechReviews,0.35,4,Positive
26-04-2017,"lso, there\xe2\x80\x99s a bug in the Bolt\xe2\x80\x99s Netflix app which can cause the service to freeze. TiVo says it\xe2\x80\x99s infrequent and will be fixed soon, but I ran into it and had to reboot the unit.",TechReviews,0.1,3,Neutral
26-04-2017,"Besides live television from cable, FiOS, or OTA, the Bolt can access streaming television and movies from a handful of sources. It supports Amazon Instant Video, Netflix, YouTube, Plex, Vudu, and AOL On, plus streaming music through Pandora, Spotify, and iHeartRadio. Once you've signed in to your respective accounts for the different services on the Bolt, your search results and OnePass information expands to include those services. With ",TechReviews,0.034090909,3,Neutral
26-04-2017,"\xc2\xa0video output, though you won't find this to be very useful with your cable or OTA television yet. Currently, UHD video isn't broadcast in any way over the air or through cable services. However, you can watch 4K content on Netflix and Amazon Video through the Bolt. I loaded episodes of\xc2\xa0",TechReviews,0.195,3,Neutral
26-04-2017,How to watch Netflix on your TiVo box,TechReviews,0,3,Neutral
26-04-2017,"When you activate your TiVo box on your Netflix account, you can enjoy Netflix movies and TV episodes, streamed from Netflix right to your TiVo",TechReviews,0.342857143,4,Positive
26-04-2017,ot a Netflix subscriber? No problem. Get 1 month of Netflix free! (Just follow the instructions under \xe2\x80\x9cSigning in\xe2\x80\x9d below.),TechReviews,0.5,5,Very Positive
26-04-2017,"simply sign in to your Netflix account from your TiVo box, or sign up for a free trial. You\xe2\x80\x99ll only need to sign in once. You\xe2\x80\x99ll remained signed in to Netflix until you sign out.",TechReviews,0.133333333,3,Neutral
26-04-2017,"If you are a Netflix member, select \xe2\x80\x9cMember Sign In."" If you are not yet a member, select ""Start Your FREE Trial."" ",TechReviews,0.4,4,Positive
26-04-2017,"ign in with your Netflix username and password, or follow the on-screen instructions to sign up for your free trial.",TechReviews,0.4,4,Positive
26-04-2017,That's it! You're ready to watch Netflix on\xc2\xa0your TiVo box!,TechReviews,0.25,4,Positive
26-04-2017,Watching Netflix videos on your TiVo box,TechReviews,0,3,Neutral
26-04-2017,"When you search for shows on your TiVo box, your results will include shows available from Netflix. Or, you can search Netflix directly for any show. Here\xe2\x80\x99s how",TechReviews,0.25,4,Positive
26-04-2017,"From the TiVo Central screen,\xc2\xa0select 'Apps' > 'Netflix.' ",TechReviews,0,3,Neutral
26-04-2017,Choose the Netflix experience you want: Netflix or Netflix Kids.,TechReviews,0,3,Neutral
26-04-2017,"To search for a show, move upward on the Netflix home screen until you see the 'Search' icon. Select it, and enter the first few letters of a show title. Matching titles appear as you type.",TechReviews,0.025,3,Neutral
26-04-2017,"If you need to sign out of your Netflix account on your TiVo box, follow these steps.",TechReviews,0,3,Neutral
26-04-2017,"From the TiVo Central screen,select 'Settings & Messages' > 'Help' > 'Account & System Info' > 'Video Provider Accounts' > 'Netflix Account Information.'\xc2\xa0",TechReviews,0,3,Neutral
26-04-2017,"Choose \xe2\x80\x9cDeactivate this device.\xe2\x80\x9d If you deactivate the device, you will need to sign in again the next time you want to watch Netflix on your TiVo box.",TechReviews,0,3,Neutral
26-04-2017,"4K UHD Apps \xe2\x80\x93 Though we\xe2\x80\x99re a little disappointed that 4K UHD app support is a bit scant at launch, the Bolt will support 4K UHD streams from Netflix and YouTube right away. Support for Amazon, Vudu, and other 4K UHD streaming content is expected (and needed) in the near future.",TechReviews,-0.110969388,2,Negative
26-04-2017,"upport for Apple TV and Fire TV \xe2\x80\x93 TiVo would probably prefer that you invest in one of its TiVo Mini boxes to share stored content with other televisions in the house, but with support for Apple Airplay and a new TiVo Android app available for Fire TV, you can use the streamers you might already have to access all of your recordings. The TiVo Mini is still the best tool for getting the most out of the Bolt, however, with support for SkipMode, QuickMode, and access to streaming apps like Netflix, Amazon Prime, and more.",TechReviews,0.401893939,4,Positive
26-04-2017,"iVo offers the best search feature available on the market. Simply plug the title of what you want to watch into the OneSearch box, and TiVo will show you where you can watch it and how much, if anything, it will cost you. When you search for a movie or TV show, TiVo polls your DVR recordings, live TV, VOD (in select markets), and apps like Netflix, Amazon Prime Instant, and Vudu (depending on whether you have a subscription) to show you where you can watch and if there\xe2\x80\x99s a fee involved. It\xe2\x80\x99s a great way to avoid paying twice for a flick you already paid to have access to.",TechReviews,0.329545455,4,Positive
26-04-2017,"The TiVo user experience still doesn't require a back button; this new addition is for the streaming apps like Netflix and YouTube (the back button provides the same function as the left button while in the native TiVo UI). This is undoubtedly the result of a decision by TiVo to no longer optimize the streaming apps for the TiVo experience. Whatever the impetus, it pretty much squashes any hope we might have still had for a congruous user experience.",TechReviews,0.083766234,3,Neutral
26-04-2017,"That new speed helps with more than just navigating the TiVo native UI. In fact, Netflix launches in less than eight seconds, compared to the 40 seconds it takes on the Premiere XL4. Speaking of which, the Netflix and YouTube apps have been updated; there is DIAL support, but the apps are still a little behind as the new Netflix Profiles feature still isn't supported. We also really appreciate the fact that now, when you use the TiVo search to find a show, and then choose to watch it from Netflix, it takes you directly to the show rather than to the Netflix search, like it did before. Much appreciated, no doubt, but we still long for the congruous user experience that the Xbox and Apple TV deliver, as well as all the missing streaming content from services like WatchESPN, Vudu, HBO Go, Amazon Prime, Epix, Crackle and CinemaNow. Oh, and it's crazy that the same old, worn-out Amazon Instant app is still being ported along.",TechReviews,-0.015429293,2,Negative
26-04-2017,", TiVo also has a similar function, called Smart Search, that finds every source for the content you're interested in and lists them by price. It currently searches Fox, PBS, AMC, CBS, Showtime, Hulu, Netflix, Vudu, NBC, Bravo, FX, Comedy Central and Amazon \xe2\x80\x93 as well as cable or over-the-air signals \xe2\x80\x93 for the cheapest source of whatever you want to watch.",TechReviews,0.092857143,3,Neutral
26-04-2017,"The Bolt is an increasingly competent 4K video player, too. It can currently power its way through Netflix's Ultra-HD library without breaking a sweat, and TiVo says it plans on rolling out Amazon 4K support in the near future. Admittedly, the TiVo Bolt doesn't have the same massive Ultra-HD library as, say, the ",TechReviews,0.1,3,Neutral
26-04-2017,"Finally, TiVo is finally boarding the 4K bandwagon to some surprising results. It tore through Netflix in Ultra-HD, and the company has plans to take on Amazon's 4K catalog in the coming months.",TechReviews,0.233333333,3,Neutral
26-04-2017,"The TiVo Bolt is definitely lacking when it comes to crucial video streaming apps. While it has Vudu, Amazon and Netflix, it's missing key services, like Showtime Anytime and HBO Now, that would allow cable reductionists to only pay for an antenna and then stream premium content through the apps instead of a paid cable package.",TechReviews,-0.04,2,Negative
26-04-2017,"On top of all that, the Bolt is a competent 4K streaming device, tackling Netflix's Ultra-HD library at launch and setting a course for Amazon's offerings next. It could use a few more apps, like HBO Now and Showtime Anytime, to round out the options for cable cutters trying to scale back their cable bill.",TechReviews,0.157142857,3,Neutral
26-04-2017,"Our son in law told us about TiVo, and how much money they were saving. We decided to cut back on what we were spending on television since most of what we were watching was on the Networks, and on Netflix and/or Hulu. Could not be happier with this product. Put an antenna in our attic and getting all of the channels we need, coupled with streaming tv (with many built in Apps) its perfect. The interface is far easier to use than our old television provider box and the storage pace at 1TB allows for 150 hours of HD recording time. We coupled it with a TiVo mini for our bedroom and don't think we'll ever go back to paying for television again!",TechReviews,0.3,4,Positive
26-04-2017,"he TIVO Romio works great for recording OTA shows. The guide layout and simplicity of the remote make the Tivo a great addition to purchase. Although the streaming apps are limited it does include Netflix, Vudu, youtube, Amazon Prime and HBO Go along with a handfull of others. Nice item overall.",TechReviews,0.338095238,4,Positive
26-04-2017,"4K HDR capabilities, 4K Netflix on-board, cross-platform search, multiroom with other TiVo boxes to share recordings, download recordings to free mobile app, record six channels",TechReviews,0.1375,3,Neutral
26-04-2017,"That's because the V6 box comes with eight TV tuners, with six available for recordings and two put aside for future development. That means you can record up to six shows at a time, while playing back a previous recording or streaming something over\xc2\xa0Netflix, YouTube or one of the terrestrial catch-up services that are available. Sky is planning to add the same recording functionality to its 2TB Sky Q in a software update, but as yet the Virgin Media device is unparalleled.",TechReviews,0.09047619,3,Neutral
26-04-2017,"he hindsight we mentioned earlier has given Virgin Media the chance to adopt the tech for its box. And while it is yet to implement it with a future software patch of its own, the fact that you will soon get HDR compatibility for Netflix, other content partners and broadcasts makes this box as future-proof as they come.",TechReviews,0.11875,3,Neutral
26-04-2017,"It's important too, as when it comes to 4K content Virgin Media does lag behind rivals. At present, you can watch Netflix shows, like The Crown, Stranger Things and Narcos in 4K, as long as you have a premium Netflix subscription (priced at \xc2\xa38.99 a month). Others have Ultra HD footy and films aplenty, so are on a higher rung of the ladder already. Give the V6 box time though and its library will undoubtedly grow. It certainly has great potential for expansion and you'll be happy of that in a year or so.",TechReviews,0.223809524,3,Neutral
26-04-2017,"mart search across all content, including Netflix",TechReviews,0,3,Neutral
26-04-2017,"As a trade-off for multiroom compatibility with older TiVo boxes, the V6 box has the exact same software running the show \xe2\x80\x93 something that dates it aesthetically. Other systems and services, including Netflix's own front-end that can be accessed on the box, are more modern and just, well, prettier.",TechReviews,0.227380952,3,Neutral
26-04-2017,"If you search for a show on the box, you'll be presented with all the results no matter where it is being hosted. It could be part of UKTV Play's channels, a catch-up service, or Netflix. And if it's the latter and you start the show, it automatically circumnavigates the Netflix app start-up process and starts the programme directly - in the best format possible, including 4K.",TechReviews,0.275,4,Positive
26-04-2017,"We searched for The Crown, for example, and it popped up on the screen as if it was a normal broadcast show. But starting it opened Netflix and jumped straight into the episode. This kind of freedom for content is superb and gives Virgin Media a current advantage over rivals.",TechReviews,0.325,4,Positive
26-04-2017,"But choosing between Virgin and Sky Q will mainly come down to circumstance and personal choice. There is little doubt that Sky offers more compelling content options, especially when it comes to 4K, with its movies, box-sets and live football (plus F1 from the start of the new season). It doesn't have Netflix in 4K though. Nor does it have the ability to output HDR video in future. The Virgin TV V6 box does and that might swing it for the purists.",TechReviews,0.090576217,3,Neutral
26-04-2017,"he Bolt comes with a wide range of streaming apps, including the familiar options you would expect, such as Netflix, Amazon Instant Video, Hulu and YouTube.",TechReviews,0.06875,3,Neutral
26-04-2017,"It includes a feature called OnePass (a service that replaced the former Season Pass), which automatically finds and records shows across both live TV and online streaming services. For example, fans of the show Gotham can enter their account information for services such as Amazon Instant and Netflix and OnePass will pull in the series\xe2\x80\x99 shows from all of those as well as your cable provider\xe2\x80\x99s own on-demand service (if available) and put them into one easy-to-access place. OnePass is intelligent and convenient, and made both starting new shows and catching up on others simple and elegant.",TechReviews,0.264393939,4,Positive
26-04-2017,"I went out and bought a TiVo Bolt and Mini thinking that would be the answer to my frustration with high cable TV prices. I got the hardware installed and signed up for everything online, give them a credit card number for month by month subscription until I decided whether the service was right for me or not. After a few months I realized that it really didn't give me what I needed. I still had to subscribe to Netflix Hulu Amazon in order to give all of the programming that I wanted and TiVo just didn't seem worthwhile.",TechReviews,0.189142857,3,Neutral
26-04-2017,"I don't even know the support phone numbers for Apple and Amazon because I have never had to call them. Tivo offers a link to Netflix and Youtube just like Apple. Choosing the Tivo link instead of Apple is madness - freezes up midway through any show. Same top of the line router, same distance from it. And the Tivo smartphone app? HaHaHa...",TechReviews,0.16,3,Neutral
26-04-2017,"iVo first appeared in 1999 with the DVR. Today it offers the TiVo BOLT, a streaming device that turns your TV into a smart TV by integrating your favorite streaming apps like Hulu, Netflix, Sling TV and more. The BOLT comes in a 500GB, 1TB and 3TB storage capacities. That comes out to be about 75, 150 and 450 hours of show and movie storage capability. Pricing starts at $199.99 for the 500GB BOLT, $299.99 for the 1TB and $499.99 for the 3TB.",TechReviews,0.312857143,4,Positive
26-04-2017,"When we tested the Bolt, it included support for Plex, Vudu, AOL On, Pandora, Spotify, iHeartRadio Netflix, and Amazon. You can now add HBO Go and Hulu to that list, as well, which pretty much covers all of the major streaming servies. Other apps are available through the built-in OperaTV store, including Facebook and Accuweather, with more services expected to come in the future. That means you likely won't need to connect an additional ",TechReviews,0.131944444,3,Neutral
26-04-2017,"TiVo's OnePass service lets you search for programs on Amazon, Hulu, and Netflix, so if you missed previous seasons (or even a recently broacast show), you can now go back and stream it from those services. You'll need to be a subscriber, but it's still a boon for the impatient.",TechReviews,-0.091666667,2,Negative
26-04-2017,"But the hardware is secondary to the amazing software package you get with the TiVo Bolt. After living with it for a few weeks, I would find it practically impossible to go back to anything but the Bolt. For those of you on an older TiVo box, you\xe2\x80\x99ll notice right away that the interface has been cleaned up considerably, with a Live TV window in the corner and suggested shows running along the top. The menus are responsive and all settings are much more accessible than in previous versions of the OS. What\xe2\x80\x99s particularly noteworthy is OnePass. The outdated Season Pass feature is gone. I loved it because it let me catch every episode of a show, no matter when or where it aired. But inevitably I would miss an ep and be stuck rifling through Netflix or sifting through VuDu or Amazon. OnePass takes those two paradigms, recording live television and streaming video, and mashes them together. Now, I can see a listing of all the seasons and episodes of a OnePass show, along with\x...",TechReviews,0.10702324,3,Neutral
26-04-2017,his bolt is great for antenna users. The interface is fast and easy to use. Having netflix built in is a great plus as well. Easy to set up. Worst part is having to have subscription plan.,TechReviews,0.277777778,4,Positive
26-04-2017,"I bought it because my cable company no longer offers a dvr with a 30 second skip feature. You can set this baby to skip 30 seconds or to ffwd 30 seconds, which ever you prefer. It also has commercial skip for most popular shows. It also has prime, Hulu, Netflix and several other apps. The wifi is a little weak, but it's super fast if you connect it to your router with a network cord. My only regret is not getting the bolt plus with the 3 tb hdd. Don't hesitate, you will love it.",TechReviews,0.118910256,3,Neutral
26-04-2017,"iVo imagines a world in which broadcast, cable TV and streaming media apps like Netflix and Amazon Prime all live in one universe, and if you were to search for a TV series like ",TechReviews,0.136363636,3,Neutral
26-04-2017,"Like streaming boxes from Apple, Roku and others, the Bolt has a collection of entertainment apps \xe2\x80\x94\xc2\xa0including Netflix, Amazon Prime, Vudu and others, but the offerings are skimpy compared to others. TiVo says other apps will be joining the lineup, including HuluPlus and potentially HBO Now.",TechReviews,-0.0625,2,Negative
26-04-2017,"Unlike the new Apple TV, the Bolt can show programming that's been presented in ultra-high definition 4K\xc2\xa0via the Netflix and Amazon Prime apps.",TechReviews,0.136363636,3,Neutral
26-04-2017,"ccess Live TV, Grande On Demand and a rich selection of Netflix content \xe2\x80\x94 all from one single device \xe2\x80\x94 your Grande TiVo box.",TechReviews,0.146645022,3,Neutral
26-04-2017,"One search finds TV shows and movies across Live TV, Grande On Demand, Netflix, and YouTube\xe2\x84\xa2. ",TechReviews,0.136363636,3,Neutral
26-04-2017,"\r\nInternet access is required to access Netflix. Customer must have a Netflix-ready device. Netflix is only available on TiVo set-top boxes from Grande; Motorola and Scientific Atlanta/Cisco boxes from Grande cannot access Netflix. Netflix streaming membership required. If you do not have a Netflix membership, you will need to register and accept Netflix's terms and conditions of use. Existing Netflix customers who have compatible TiVo equipment from Grande can access the Netflix service from their TiVo box. Access to some interactive features may be limited by a third party. TiVo and the TiVo logo are trademarks or registered trademarks of TiVo Inc. or its subsidiaries worldwide. All other names, logos, images and trademarks are the property of their respective owners. ",TechReviews,0.033928571,3,Neutral
26-04-2017,Hi there. When I try to open the Netflix app on Tivo I get the following error message,TechReviews,0,3,Neutral
26-04-2017,It has been like this for a while and I've rung Virgin but they said to ring Netflix who didn't recognise the error message and told me to turn off the Tivo box wait a bit and turn it back on again. I have done this but the error message is still the same.\xc2\xa0,TechReviews,0,3,Neutral
26-04-2017,Welcome to the Community Forum and thanks for your post. I'm sorry to hear that you are experiencing a problem with accessing the Netflix app via\xc2\xa0your TiVo\xc2\xae.,TechReviews,0.166666667,3,Neutral
26-04-2017,"Any reason why Netflix takes an age to load through the Tivo box? \xc2\xa0I can watch Netflix wirelessly on my iPad with no issues loading up at all, however through Tivo you might as well go do something else whilst it's loading. \xc2\xa0Any quick fix for this?",TechReviews,0.333333333,4,Positive
26-04-2017,e: Netflix so slow to load through Tivo,TechReviews,-0.3,2,Negative
26-04-2017,It may take time due to the content that needs to load inside the Netflix app.,TechReviews,-0.125,2,Negative
26-04-2017,"If I purchase a TIVO from Direct TV, will I be able to access Amazon and Netflix?.\xc2\xa0 Also, will I be able to access recordings from my other 2 mini direct tv units?",TechReviews,0.215,3,Neutral
26-04-2017,I'm having same issue and I live in the SF Bay Area. \xc2\xa0 My TiVo shows last successful update was 12/29/2015. \xc2\xa0 Since then it continues to fail. \xc2\xa0I also can't use the Netflix streaming app in my TiVo (Series 3). \xc2\xa0\xc2\xa0,TechReviews,0.077272727,3,Neutral
26-04-2017,"I have a brand new TiVo HD which allows me to view instant Netflix on my television. My wireless network is upstairs, whereas the TiVo is downstairs. My upstairs computers are wired, so I think the Airport device must remain upstairs with them.",TechReviews,0.068181818,3,Neutral
26-04-2017,"The good news is that the picture quality of the instant Netflx programs is jaw-droppingly awesome! The problem is that the audio on most of the films contains a digital 'stuttering' sound. The Netflix website suggests a USB cable to remedy the audio issue. But what would I connect it to? Again, the computers and the TiVo are in different parts of the house.",TechReviews,0.371428571,4,Positive
26-04-2017,low Netflix Speeds on TiVo Wired to Orbi Satellit...,TechReviews,0,3,Neutral
26-04-2017,low Netflix Speeds on TiVo Wired to Orbi Satellite,TechReviews,0,3,Neutral
26-04-2017,"I have an Orbi system set up with the router in my basement, Satellite 1 on the first floor and Satellite 2 on the second floor. Wireless speed is pegged at 120 Mbps down for devices where I can measure speed (iPads, iPhones, HP desktop, lenovo laptop) when connected to satellites or router. Wired to\xc2\xa0Satellite 2, with wireless adapter turned off on the desktop and laptop each show 1Gbps connection and internet download speeds pegged at 120 Mbps. Here's my issue. I have a TiVo Bolt+ wired to Satellite 1 and a TiVo mini wired to Satellite 2 (both with cat6 cables). Through the Netflix app on the Bolt+, I consistently see 33 Mbps download speed wired AND wireless when I disconnect the cable. Through\xc2\xa0the Netflix app on the Mini, I see 6 Mbps download speed wired. Has anyone else seen speed download limitations with TiVos connected to Orbis in this way? Any solutions?",TechReviews,0.086111111,3,Neutral
26-04-2017,e: Slow Netflix Speeds on TiVo Wired to Orbi Satellite,TechReviews,-0.3,2,Negative
26-04-2017,\n                    A friend of mine has TiVo and is interested in the Netflix service on there but he doesn't have internet but I've told him I could setup an email address for him. I think he just wants the 30 day trail tbh but would he be able to cancel via his TiVo when his trail is up or would he have to do it via a computer?                ,TechReviews,0.316666667,4,Positive
26-04-2017,"\n                            You can't cancel from the TiVo but I think what you can do instead is cancel your friend's membership as soon as signing up, so your friend wouldn't have to do anything himself to prevent getting charged after the trial period. I've mentioned this before but this is a nice setup VM have done for those wanting Netflix without the need of internet.                        ",TechReviews,0.6,5,Very Positive
26-04-2017,"You can't cancel from the TiVo but I think what you can do instead is cancel your friend's membership as soon as signing up, so your friend wouldn't have to do anything himself to prevent getting charged after the trial period. I've mentioned this before but this is a nice setup VM have done for those wanting Netflix without the need of internet.",TechReviews,0.6,5,Very Positive
26-04-2017,\n3 Open the Tivo app (or Channel 204) and sign in with email and password.  Tivo will remember these details and you will not have to sign in again (unless you want to watch Netflix on another device).,TechReviews,0,3,Neutral
26-04-2017,"\n5. Finally if you do want to sign out of Netflix (maybe to watch a film at another home) then once it has opened with the film choice menu, ignore what happens on the screen as you press keys on your remote that takes you to the log off page: UP, UP, DOWN, DOWN,LEFT,RIGHT,LEFT,RIGHT,UP,UP,UP,UP.",TechReviews,-0.085185185,2,Negative
26-04-2017,\nBeen my mates today and he's signed up without a valid email address. He just typed any email in and then just entered his bank details and Netflix excepted it!!!,TechReviews,0,3,Neutral
26-04-2017,.com and said that netflix excepted the email address so he carried on and put his bank details in. I've since told him he will have to ring them if he wants to cancel.                        ,TechReviews,0.2,3,Neutral
26-04-2017,.com and said that netflix excepted the email address so he carried on and put his bank details in. I've since told him he will have to ring them if he wants to cancel.,TechReviews,0.2,3,Neutral
